Date,Adj Close
30.11.2015,78.20
01.12.2015,76.57
02.12.2015,76.00
03.12.2015,72.35
04.12.2015,73.38
07.12.2015,72.64
08.12.2015,71.33
09.12.2015,70.25
10.12.2015,70.75
11.12.2015,69.14
14.12.2015,68.82
15.12.2015,70.25
16.12.2015,70.37
17.12.2015,71.39
18.12.2015,70.09
21.12.2015,69.41
22.12.2015,69.13
23.12.2015,71.03
28.12.2015,70.59
29.12.2015,71.45
30.12.2015,70.69
04.01.2016,68.16
05.01.2016,67.53
06.01.2016,66.10
07.01.2016,64.07
08.01.2016,64.01
11.01.2016,63.57
12.01.2016,64.48
13.01.2016,63.99
14.01.2016,64.69
15.01.2016,61.44
18.01.2016,60.99
19.01.2016,60.86
20.01.2016,60.28
21.01.2016,61.71
22.01.2016,63.30
25.01.2016,62.00
26.01.2016,61.99
27.01.2016,61.11
28.01.2016,61.02
29.01.2016,61.85
01.02.2016,60.50
02.02.2016,58.80
03.02.2016,58.85
04.02.2016,59.40
05.02.2016,59.70
08.02.2016,57.86
09.02.2016,57.41
10.02.2016,58.20
11.02.2016,57.30
12.02.2016,57.85
15.02.2016,59.13
16.02.2016,58.80
17.02.2016,60.10
18.02.2016,60.20
19.02.2016,60.20
22.02.2016,61.57
23.02.2016,60.19
24.02.2016,58.65
25.02.2016,59.51
26.02.2016,61.15
29.02.2016,60.30
01.03.2016,62.28
02.03.2016,62.40
03.03.2016,63.20
04.03.2016,63.50
07.03.2016,63.78
08.03.2016,63.74
09.03.2016,64.47
10.03.2016,62.08
11.03.2016,64.55
14.03.2016,65.83
15.03.2016,65.10
16.03.2016,65.45
17.03.2016,65.20
18.03.2016,66.10
21.03.2016,67.15
22.03.2016,67.12
23.03.2016,67.22
24.03.2016,66.40
29.03.2016,66.00
30.03.2016,66.95
31.03.2016,66.70
01.04.2016,65.20
04.04.2016,65.00
05.04.2016,63.29
06.04.2016,62.96
07.04.2016,62.00
08.04.2016,63.18
11.04.2016,64.55
12.04.2016,64.99
13.04.2016,66.94
14.04.2016,68.25
15.04.2016,67.88
18.04.2016,68.49
19.04.2016,70.00
20.04.2016,71.18
21.04.2016,71.02
22.04.2016,70.99
25.04.2016,70.41
26.04.2016,71.30
27.04.2016,72.05
28.04.2016,72.38
29.04.2016,72.28
02.05.2016,69.85
03.05.2016,68.19
04.05.2016,67.00
05.05.2016,68.13
06.05.2016,68.54
09.05.2016,68.68
10.05.2016,69.35
11.05.2016,68.22
12.05.2016,67.22
13.05.2016,67.56
17.05.2016,67.52
18.05.2016,67.47
19.05.2016,66.52
20.05.2016,67.03
23.05.2016,67.17
24.05.2016,69.00
25.05.2016,69.60
26.05.2016,69.57
27.05.2016,69.60
30.05.2016,69.97
31.05.2016,69.49
01.06.2016,69.45
02.06.2016,69.68
03.06.2016,68.50
06.06.2016,68.80
07.06.2016,70.74
08.06.2016,70.20
09.06.2016,69.21
10.06.2016,67.60
13.06.2016,66.78
14.06.2016,66.56
15.06.2016,68.05
16.06.2016,68.35
