Date;Adj Close;;;
01.01.2018;81,45;0,45;-2;83
02.01.2018;79,475;0,475;-1;80
03.01.2018;70,5;0,5;-2;72
04.01.2018;87,525;0,525;4;83
05.01.2018;77,55;0,55;-3;80
06.01.2018;93,575;0,575;3;90
07.01.2018;82,6;0,6;0;82
08.01.2018;94,625;0,625;2;92
09.01.2018;76,65;0,65;3;73
10.01.2018;84,675;0,675;3;81
11.01.2018;84,7;0,7;-3;87
12.01.2018;77,725;0,725;1;76
13.01.2018;80,75;0,75;3;77
14.01.2018;87,775;0,775;4;83
15.01.2018;85,8;0,8;3;82
16.01.2018;70,825;0,825;-1;71
17.01.2018;97,85;0,85;5;92
18.01.2018;91,875;0,875;-2;93
19.01.2018;92,9;0,9;0;92
20.01.2018;97,925;0,925;4;93
21.01.2018;81,95;0,95;-3;84
22.01.2018;95,975;0,975;1;94
23.01.2018;80;1;-3;82
24.01.2018;67,025;1,025;-4;70
25.01.2018;93,05;1,05;-1;93
26.01.2018;80,075;1,075;-3;82
27.01.2018;91,1;1,1;3;87
28.01.2018;90,125;1,125;5;84
29.01.2018;89,15;1,15;2;86
30.01.2018;90,175;1,175;-1;90
31.01.2018;73,2;1,2;-2;74
01.02.2018;89,225;1,225;5;83
02.02.2018;75,25;1,25;4;70
03.02.2018;83,275;1,275;3;79
04.02.2018;75,3;1,3;-2;76
05.02.2018;79,325;1,325;3;75
06.02.2018;84,35;1,35;-3;86
07.02.2018;87,375;1,375;0;86
08.02.2018;91,4;1,4;3;87
09.02.2018;86,425;1,425;5;80
10.02.2018;76,45;1,45;1;74
11.02.2018;75,475;1,475;4;70
12.02.2018;79,5;1,5;3;75
13.02.2018;86,525;1,525;0;85
14.02.2018;81,55;1,55;3;77
15.02.2018;99,575;1,575;3;95
16.02.2018;74,6;1,6;-3;76
17.02.2018;94,625;1,625;4;89
18.02.2018;92,65;1,65;-1;92
19.02.2018;82,675;1,675;-2;83
20.02.2018;74,7;1,7;2;71
21.02.2018;86,725;1,725;-1;86
22.02.2018;73,75;1,75;-4;76
23.02.2018;91,775;1,775;5;85
24.02.2018;92,8;1,8;0;91
25.02.2018;69,825;1,825;-4;72
26.02.2018;89,85;1,85;4;84
27.02.2018;74,875;1,875;3;70
28.02.2018;83,9;1,9;2;80
01.03.2018;77,925;1,925;3;73
02.03.2018;91,95;1,95;4;86
03.03.2018;82,975;1,975;3;78
04.03.2018;77;2;0;75
05.03.2018;81,025;2,025;0;79
06.03.2018;80,05;2,05;5;73
07.03.2018;79,075;2,075;5;72
08.03.2018;83,1;2,1;2;79
09.03.2018;74,125;2,125;-3;75
10.03.2018;87,15;2,15;2;83
11.03.2018;97,175;2,175;2;93
12.03.2018;98,2;2,2;4;92
13.03.2018;96,225;2,225;2;92
14.03.2018;78,25;2,25;-2;78
15.03.2018;91,275;2,275;-4;93
16.03.2018;93,3;2,3;0;91
17.03.2018;78,325;2,325;-2;78
18.03.2018;94,35;2,35;4;88
19.03.2018;96,375;2,375;1;93
20.03.2018;93,4;2,4;1;90
21.03.2018;98,425;2,425;4;92
22.03.2018;85,45;2,45;3;80
23.03.2018;74,475;2,475;-1;73
24.03.2018;73,5;2,5;-1;72
25.03.2018;91,525;2,525;5;84
26.03.2018;90,55;2,55;2;86
27.03.2018;78,575;2,575;3;73
28.03.2018;96,6;2,6;0;94
29.03.2018;88,625;2,625;0;86
30.03.2018;96,65;2,65;4;90
31.03.2018;74,675;2,675;-4;76
01.04.2018;82,7;2,7;3;77
02.04.2018;76,725;2,725;0;74
03.04.2018;89,75;2,75;-4;91
04.04.2018;88,775;2,775;-2;88
05.04.2018;80,8;2,8;-2;80
06.04.2018;81,825;2,825;1;78
07.04.2018;92,85;2,85;-4;94
08.04.2018;92,875;2,875;3;87
09.04.2018;69,9;2,9;-3;70
10.04.2018;69,925;2,925;-4;71
11.04.2018;78,95;2,95;1;75
12.04.2018;75,975;2,975;3;70
13.04.2018;79;3;3;73
14.04.2018;80,025;3,025;5;72
15.04.2018;87,05;3,05;2;82
16.04.2018;83,075;3,075;-1;81
17.04.2018;87,1;3,1;3;81
18.04.2018;77,125;3,125;-3;77
19.04.2018;86,15;3,15;-1;84
20.04.2018;100,175;3,175;2;95
21.04.2018;99,2;3,2;4;92
22.04.2018;85,225;3,225;3;79
23.04.2018;84,25;3,25;0;81
24.04.2018;77,275;3,275;-1;75
25.04.2018;95,3;3,3;-1;93
26.04.2018;84,325;3,325;4;77
27.04.2018;98,35;3,35;1;94
28.04.2018;90,375;3,375;0;87
29.04.2018;85,4;3,4;0;82
30.04.2018;86,425;3,425;5;78
01.05.2018;85,45;3,45;3;79
02.05.2018;84,475;3,475;5;76
03.05.2018;96,5;3,5;1;92
04.05.2018;93,525;3,525;2;88
05.05.2018;78,55;3,55;-1;76
06.05.2018;73,575;3,575;0;70
07.05.2018;94,6;3,6;3;88
08.05.2018;90,625;3,625;2;85
09.05.2018;99,65;3,65;2;94
10.05.2018;78,675;3,675;1;74
11.05.2018;89,7;3,7;4;82
12.05.2018;92,725;3,725;1;88
13.05.2018;85,75;3,75;-2;84
14.05.2018;87,775;3,775;0;84
15.05.2018;76,8;3,8;-1;74
16.05.2018;93,825;3,825;2;88
17.05.2018;94,85;3,85;-4;95
18.05.2018;93,875;3,875;-2;92
19.05.2018;91,9;3,9;4;84
20.05.2018;80,925;3,925;-4;81
21.05.2018;91,95;3,95;-2;90
22.05.2018;95,975;3,975;-2;94
23.05.2018;78;4;0;74
24.05.2018;90,025;4,025;-1;87
25.05.2018;81,05;4,05;-1;78
26.05.2018;73,075;4,075;-3;72
27.05.2018;95,1;4,1;-4;95
28.05.2018;94,125;4,125;5;85
29.05.2018;83,15;4,15;-2;81
30.05.2018;87,175;4,175;-2;85
31.05.2018;84,2;4,2;-3;83
