Date,Adj Close,,,
01.01.2018,423.5,10.5,11,402
02.01.2018,560.5145,10.5145,20,530
03.01.2018,628.529,10.529,25,593
04.01.2018,503.5435,10.5435,18,475
05.01.2018,471.558,10.558,24,437
06.01.2018,591.5725,10.5725,20,561
07.01.2018,619.587,10.587,24,585
08.01.2018,432.6015,10.6015,14,408
09.01.2018,564.616,10.616,11,543
10.01.2018,623.6305,10.6305,24,589
11.01.2018,583.645,10.645,25,548
12.01.2018,624.6595,10.6595,24,590
13.01.2018,433.674,10.674,23,400
14.01.2018,472.6885,10.6885,18,444
15.01.2018,518.703,10.703,13,495
16.01.2018,486.7175,10.7175,10,466
17.01.2018,521.732,10.732,17,494
18.01.2018,499.7465,10.7465,16,473
19.01.2018,594.761,10.761,16,568
20.01.2018,565.7755,10.7755,21,534
21.01.2018,581.79,10.79,23,548
22.01.2018,592.8045,10.8045,18,564
23.01.2018,445.819,10.819,22,413
24.01.2018,548.8335,10.8335,15,523
25.01.2018,459.848,10.848,19,430
26.01.2018,440.8625,10.8625,24,406
27.01.2018,532.877,10.877,25,497
28.01.2018,538.8915,10.8915,19,509
29.01.2018,496.906,10.906,22,464
30.01.2018,453.9205,10.9205,19,424
31.01.2018,501.935,10.935,16,475
01.02.2018,620.9495,10.9495,22,588
02.02.2018,608.964,10.964,13,585
03.02.2018,497.9785,10.9785,20,467
04.02.2018,505.993,10.993,10,485
05.02.2018,460.0075,11.0075,19,430
06.02.2018,430.022,11.022,17,402
07.02.2018,523.0365,11.0365,23,489
08.02.2018,516.051,11.051,10,495
09.02.2018,556.0655,11.0655,14,531
10.02.2018,591.08,11.08,24,556
11.02.2018,520.0945,11.0945,22,487
12.02.2018,563.109,11.109,24,528
13.02.2018,607.1235,11.1235,14,582
14.02.2018,468.138,11.138,20,437
15.02.2018,437.1525,11.1525,17,409
16.02.2018,547.167,11.167,12,524
17.02.2018,449.1815,11.1815,24,414
18.02.2018,535.196,11.196,21,503
19.02.2018,628.2105,11.2105,20,597
20.02.2018,612.225,11.225,14,587
21.02.2018,550.2395,11.2395,19,520
22.02.2018,499.254,11.254,21,467
23.02.2018,436.2685,11.2685,11,414
24.02.2018,579.283,11.283,16,552
25.02.2018,494.2975,11.2975,19,464
26.02.2018,621.312,11.312,10,600
27.02.2018,505.3265,11.3265,11,483
28.02.2018,438.341,11.341,25,402
01.03.2018,580.3555,11.3555,18,551
02.03.2018,558.37,11.37,25,522
03.03.2018,555.3845,11.3845,14,530
04.03.2018,580.399,11.399,24,545
05.03.2018,435.4135,11.4135,22,402
06.03.2018,467.428,11.428,15,441
07.03.2018,584.4425,11.4425,14,559
08.03.2018,601.457,11.457,15,575
09.03.2018,475.4715,11.4715,24,440
10.03.2018,498.486,11.486,10,477
11.03.2018,530.5005,11.5005,10,509
12.03.2018,477.515,11.515,22,444
13.03.2018,544.5295,11.5295,13,520
14.03.2018,456.544,11.544,25,420
